,0,1,2,3,4,5,6,7,8,9
2081,-4.1775665,3.6440501,-1.1995339,-4.3327727,-6.065823,-4.269732,4.189916,-1.0489216,-5.0619545,-6.190692
2082,1.4633896,2.7020893,-0.9357865,-6.378437,-3.1487446,1.2614892,3.4374063,-0.9654757,-6.1636825,-2.4302628
2083,-12.170806,5.856124,-2.3931947,-8.177933,-16.885809,-13.642307,10.307775,-1.9827793,-10.524453,-15.841764
2084,-2.1494808,1.8592392,-0.4366731,-2.3645978,-3.0915127,-1.1053702,1.3972129,-0.31100518,-1.9816796,-2.0008419
2085,-12.280457,14.202091,-3.1918416,-9.816385,-11.086592,-11.986951,13.816304,-3.8360622,-9.084996,-11.091704
2086,-67.32327,66.87902,-22.390392,-36.291584,-59.12623,-71.01534,72.95862,-26.581001,-38.446754,-63.084484
2087,-5.8626394,15.892567,-2.3863053,-11.261229,-3.6176062,-6.1502013,16.781483,-1.8445399,-11.605426,-2.8186848
2088,-8.460882,6.0199165,-1.6828767,-5.890529,-10.014372,-8.08425,6.849624,-1.9452012,-6.7661557,-9.945983
2089,-64.68412,59.77832,-15.963039,-18.939749,-39.808586,-68.43846,61.259052,-15.861284,-19.004248,-42.044937
2090,-15.148398,8.326339,-3.3086662,-11.340971,-21.471697,-14.370157,7.957441,-3.4647126,-11.14587,-21.0233
2091,-5.003317,6.132483,-1.030715,-8.255236,-8.156784,-4.381561,6.530073,-0.88576853,-8.906325,-7.643582
2092,-81.45284,104.291435,-53.061825,-122.187294,-152.41052,-90.12049,110.881645,-60.524124,-126.79545,-166.55841
2093,3.2477186,6.3725443,-1.7412798,-10.455252,-2.5762682,3.2956836,6.417416,-1.8208897,-10.694236,-2.8020256
2094,-27.857235,31.798134,-6.51746,-9.54418,-12.120741,-27.931202,32.25614,-6.6872115,-9.491091,-11.853362
2095,-22.842205,24.401423,-5.922306,-34.001022,-38.364113,-22.971647,24.42377,-6.3220773,-34.87298,-39.74293
2096,-59.447155,54.49748,-19.200329,-20.683533,-44.833538,-63.216385,58.605732,-21.336216,-21.40665,-47.35352
2097,-39.19171,42.457565,-9.6078415,-20.551126,-26.893114,-40.24986,42.665363,-9.282298,-19.536789,-26.403584
2098,0.056397676,5.5521417,-0.9299334,-3.8963556,0.7822504,0.01719344,6.181354,-1.0259117,-3.977375,1.195261
2099,-47.113743,50.574898,-14.220542,-10.041687,-20.801075,-50.573605,56.7739,-16.22195,-9.703633,-19.725288
2100,-7.084898,7.7691236,-1.9927075,-9.179397,-10.487879,-6.6507144,8.125404,-2.672408,-8.889342,-10.08706
2101,-8.06212,6.7864747,-1.2826085,-3.7967303,-6.3549848,-9.350803,8.082152,-1.0125718,-3.6733012,-5.9545236
2102,-4.2925386,0.9077221,-0.74765575,-3.2430546,-7.375527,-4.4781394,0.56559813,-0.34871283,-3.372283,-7.633537
2103,-3.371815,3.853785,-0.9301895,-6.7597313,-7.2079506,-2.7085567,2.247664,-0.7338719,-5.548262,-6.7430267
2104,-31.294947,19.000454,-7.3186016,-20.494772,-40.107864,-32.27737,19.921047,-7.727311,-22.054958,-42.13859
2105,-10.886742,10.799169,-2.7963018,-16.12814,-19.012016,-11.179821,11.040895,-2.1301348,-17.7538,-20.02286
2106,-2.5291474,1.2203705,-0.5596407,-2.0113852,-3.8798027,-0.12206401,0.30119905,-0.5495509,-0.94828427,-1.3187001
2107,-83.90495,71.93993,-19.589905,-56.150066,-87.704994,-84.200035,72.026474,-20.53257,-54.00125,-86.70738
2108,-5.7381773,9.7994585,-1.5319428,-11.521627,-8.992289,-5.8964643,10.6840925,-1.5283252,-12.172744,-8.913441
2109,-4.6870813,5.433746,-1.2187493,-7.0976744,-7.569759,-4.33647,6.155911,-1.3118739,-7.2367764,-6.7292094
2110,-60.72069,61.667793,-16.437588,-11.473421,-26.963907,-62.695602,63.897488,-16.405582,-11.123377,-26.327076
2111,-0.017306328,1.440527,-0.21117651,-2.033541,-0.82149696,1.2435884,3.3687637,-0.3633913,-2.4716752,1.7772858
2112,-7.175294,9.889672,-1.7200143,-8.745567,-7.7512035,-6.3056273,9.710478,-1.336526,-8.099711,-6.031387
2113,-113.57432,115.16236,-46.302532,-21.345093,-66.059586,-121.26165,122.00615,-49.737907,-21.928171,-70.92158
2114,-31.116734,23.889397,-6.518098,-7.5570383,-21.302473,-33.87386,26.442276,-7.0763135,-7.82845,-22.336348
2115,-13.630245,8.639386,-2.6999488,-6.918407,-14.609215,-13.509739,8.329589,-2.5656476,-7.0630984,-14.808896
2116,-25.733955,31.186176,-9.830543,-21.497087,-25.875408,-26.565607,33.09323,-10.816335,-22.033714,-26.322424
2117,-3.4353714,3.3122268,-0.89264965,-6.6782637,-7.694058,-3.6936579,2.536088,-0.26249853,-6.316779,-7.736848
2118,-2.6447456,1.976971,-0.946518,-5.279395,-6.8936877,-6.4729204,1.6429335,-1.204166,-4.150746,-10.184899
2119,-11.467727,10.397253,-2.639791,-13.486998,-17.197262,-24.211227,14.957326,-5.4085965,-18.156908,-32.81941
2120,-4.044561,4.2406125,-0.9133707,-5.6746798,-6.391999,-4.109479,4.4253554,-0.71682143,-5.9758434,-6.376788
2121,-27.674086,37.313393,-5.0307055,-53.0261,-48.417496,-26.516867,32.936592,-4.343684,-53.973473,-51.897434
2122,-6.665679,5.358017,-1.2932715,-7.1116734,-9.712607,-6.502998,4.0788507,-0.9979823,-5.123488,-8.545617
2123,-9.706265,16.828608,-3.2884688,-24.012434,-20.178562,-10.102745,16.279902,-2.3592534,-25.07131,-21.253407
2124,-13.5683775,20.582863,-2.8565974,-20.845167,-16.687279,-14.06202,20.562378,-2.84008,-20.297382,-16.637104
2125,-8.380304,7.4458976,-1.8481117,-7.398798,-10.181316,-9.588374,7.129375,-1.503431,-7.3516183,-11.314048
