CONFIGURATIONS,ELECTRO,EXCHANGE,INDUCTION,DISPERISION,TOTAL
AKIGAE.RFD.cif_147.xyz,-20.40683578,33.53682446,-3.89562306,-39.29357535,-30.05920973
AKIGAE.RFD.cif_153.xyz,-3.75035547,7.34802706,-1.19259080,-8.13834731,-5.73326651
AKIGAE.RFD.cif_155.xyz,-3.20874474,7.80976894,-1.18745695,-11.33763889,-7.92407164
AKIGAE.RFD.cif_162.xyz,-0.13190304,2.22621598,-0.32477484,-7.26286803,-5.49332993
AKIGAE.RFD.cif_170.xyz,-8.27412939,12.01560120,-1.54565459,-17.30933958,-15.11352237
AKIGAE.RFD.cif_171.xyz,-79.33756680,137.09509136,-41.88518993,-144.08821792,-128.21588328
ALAGEZ.RFD.cif_321.xyz,5.18630724,5.62521697,-1.69146485,-12.79586167,-3.67580232
ALAGEZ.RFD.cif_322.xyz,-68.87908163,55.16205969,-18.87509450,-25.18781636,-57.77993280
ALAGEZ.RFD.cif_326.xyz,-4.39186407,13.04853797,-1.68857196,-15.15222521,-8.18412327
ALAGEZ.RFD.cif_327.xyz,-4.39149998,13.04692926,-1.68842019,-15.15130537,-8.18429627
ALAGEZ.RFD.cif_376.xyz,-52.80652749,48.76640985,-15.88212414,-10.84072433,-30.76296612
ALAGEZ.RFD.cif_422.xyz,-7.55824113,2.22830308,-1.41965493,-4.92670757,-11.67630056
ALAGEZ.RFD.cif_426.xyz,-11.67578450,25.38751076,-5.07789487,-39.54679797,-30.91296658
ALAGEZ.RFD.cif_427.xyz,-11.67578621,25.38751081,-5.07790103,-39.54679794,-30.91297438
ALAGEZ.RFD.cif_431.xyz,-7.55916286,2.22830909,-1.41987768,-4.92680786,-11.67753931
ALAGEZ.RFD.cif_471.xyz,-17.21726983,17.03935012,-4.02376518,-15.98138138,-20.18306627
ALAGEZ.RFD.cif_472.xyz,-28.96508159,23.28725732,-6.54681466,-10.45926680,-22.68390573
ALAGEZ.RFD.cif_475.xyz,-0.15040958,1.49252891,-0.32363698,-2.80739532,-1.78891297
ALAGEZ.RFD.cif_476.xyz,-7.27573505,6.94045799,-1.03335908,-9.46327912,-10.83191526
ALAGEZ.RFD.cif_520.xyz,-2.38047393,7.87262599,-1.09574549,-10.67357532,-6.27716875
ALAGEZ.RFD.cif_521.xyz,-14.98677702,14.74076844,-5.01577021,-26.91879978,-32.18057858
ALAGEZ.RFD.cif_525.xyz,-4.27032481,9.16051800,-1.10332048,-14.04687346,-10.26000076
ALAGEZ.RFD.cif_526.xyz,-4.27132437,9.16146086,-1.10352986,-14.04732895,-10.26072232
ALAGEZ.RFD.cif_575.xyz,1.07411058,1.89129541,-0.29527953,-2.95497559,-0.28484914
ALAGEZ.RFD.cif_576.xyz,-0.18605274,2.46704477,-0.33069036,-3.49591345,-1.54561178
ALOROL.RFD.cif_288.xyz,-7.78489007,8.92379372,-1.75650215,-9.77967504,-10.39727354
ALOROL.RFD.cif_312.xyz,-5.07485240,9.05877501,-1.25866485,-17.49553181,-14.77027405
ALOROL.RFD.cif_313.xyz,-5.07485488,9.05877485,-1.25861756,-17.49553161,-14.77022919
ALOROL.RFD.cif_337.xyz,-0.14204569,4.01099698,-0.55755250,-10.72394733,-7.41254854
ALOROL.RFD.cif_362.xyz,-1.94280999,6.47225142,-1.49528465,-9.48367044,-6.44951366
ALOROL.RFD.cif_388.xyz,-1.72910455,4.51194529,-1.04842806,-7.49991852,-5.76550583
ALOROL.RFD.cif_486.xyz,-46.55802642,80.06209257,-16.90400172,-111.04306863,-94.44300420
ALOROL.RFD.cif_487.xyz,-42.04278636,72.70219665,-15.12621401,-99.26673138,-83.73353509
ALOROL.RFD.cif_536.xyz,-0.14186039,4.01117125,-0.55762983,-10.72421898,-7.41253795
